NU_ANO;CO_CURSO;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;5000980;.;.;.;.;.;.;.;.;.
2025;8698;.;.;.;.;.;.;.;.;.
2025;14093;.;.;.;.;.;.;.;.;.
2025;98406;.;.;.;.;.;.;.;.;.
2025;1136509;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1101742;.;.;.;.;.;.;.;.;.
2025;54494;.;.;.;.;.;.;.;.;.
2025;98406;.;.;.;.;.;.;.;.;.
2025;65114;.;.;.;.;.;.;.;.;.
2025;1136509;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1879;.;.;.;.;.;.;.;.;.
2025;1193275;.;.;.;.;.;.;.;.;.
2025;5001466;.;.;.;.;.;.;.;.;.
2025;1189778;.;.;.;.;.;.;.;.;.
2025;49060;.;.;.;.;.;.;.;.;.
2025;1185903;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;57402;.;.;.;.;.;.;.;.;.
2025;4082;.;.;.;.;.;.;.;.;.
2025;14359;.;.;.;.;.;.;.;.;.
2025;12015;.;.;.;.;.;.;.;.;.
2025;7676;.;.;.;.;.;.;.;.;.
2025;7676;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;87537;.;.;.;.;.;.;.;.;.
2025;5000980;.;.;.;.;.;.;.;.;.
2025;65114;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;1184060;.;.;.;.;.;.;.;.;.
2025;16236;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;1385538;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;1184060;.;.;.;.;.;.;.;.;.
2025;1408505;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1190667;.;.;.;.;.;.;.;.;.
2025;64918;.;.;.;.;.;.;.;.;.
2025;1184060;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1168313;.;.;.;.;.;.;.;.;.
2025;90084;.;.;.;.;.;.;.;.;.
2025;19434;.;.;.;.;.;.;.;.;.
2025;1168313;.;.;.;.;.;.;.;.;.
2025;13286;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;59414;.;.;.;.;.;.;.;.;.
2025;19086;.;.;.;.;.;.;.;.;.
2025;7676;.;.;.;.;.;.;.;.;.
2025;1445016;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;1180318;.;.;.;.;.;.;.;.;.
2025;1050663;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1101742;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1192188;.;.;.;.;.;.;.;.;.
2025;1184060;.;.;.;.;.;.;.;.;.
2025;65114;.;.;.;.;.;.;.;.;.
2025;5001183;.;.;.;.;.;.;.;.;.
2025;15475;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;9326;.;.;.;.;.;.;.;.;.
2025;90059;.;.;.;.;.;.;.;.;.
2025;1178672;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;1406536;.;.;.;.;.;.;.;.;.
2025;5001183;.;.;.;.;.;.;.;.;.
2025;57402;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;1408505;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;12345;.;.;.;.;.;.;.;.;.
2025;14359;.;.;.;.;.;.;.;.;.
2025;5000001;C;E;A;B;C;A;C;A;A
2025;1184060;.;.;.;.;.;.;.;.;.
2025;5000980;.;.;.;.;.;.;.;.;.
2025;1445016;.;.;.;.;.;.;.;.;.
2025;1477973;D;D;D;A;A;C;E;D;B
2025;14975;.;.;.;.;.;.;.;.;.
2025;1193275;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1185903;.;.;.;.;.;.;.;.;.
2025;100956;.;.;.;.;.;.;.;.;.
2025;72667;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;7676;.;.;.;.;.;.;.;.;.
2025;75821;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1180318;.;.;.;.;.;.;.;.;.
2025;13424;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1439;.;.;.;.;.;.;.;.;.
2025;86356;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1168313;.;.;.;.;.;.;.;.;.
2025;1363536;.;.;.;.;.;.;.;.;.
2025;7676;.;.;.;.;.;.;.;.;.
2025;1179189;.;.;.;.;.;.;.;.;.
2025;15343;E;E;D;D;E;D;A;B;B
2025;18594;C;C;C;C;C;C;C;C;B
2025;5000979;.;.;.;.;.;.;.;.;.
2025;65114;D;C;A;B;D;D;E;D;A
2025;84408;C;B;C;A;B;E;C;A;B
2025;57852;C;B;B;B;B;B;C;C;B
2025;140;C;B;C;B;C;A;A;B;A
2025;1390317;C;C;A;B;C;B;C;A;A
2025;87537;E;E;A;B;C;B;D;B;A
2025;5001294;E;E;C;E;C;B;A;D;A
2025;1445016;D;D;C;B;C;E;D;D;A
